Team,Player_Name,Batting_Hand,Country,total_runs,strikerate,average,Total Wicket Taken
Royal Challengers Bangalore,V Kohli,Right_Hand,India,5426.0,131.99,35.7,0
Mumbai Indians,RG Sharma,Right_Hand,India,4902.0,131.0,30.45,0
Sunrisers Hyderabad,DA Warner,Left_Hand,Australia,4717.0,143.29,41.38,0
Delhi Capitals,S Dhawan,Left_Hand,India,4601.0,125.54,33.58,0
Kings XI Punjab,CH Gayle,Left_Hand,West Indies,4525.0,152.25,41.14,0
Chennai Super Kings,MS Dhoni,Right_Hand,India,4450.0,138.8,37.71,0
Rajasthan Royals,RV Uthappa,Right_Hand,India,4420.0,130.73,28.33,0
Royal Challengers Bangalore,AB de Villiers,Right_Hand,South Africa,4414.0,152.1,42.44,0
Delhi Capitals,AM Rahane,Right_Hand,India,3834.0,122.37,32.77,0
Kolkata Knight Riders,KD Karthik,Right_Hand,India,3669.0,130.43,26.59,0
Chennai Super Kings,SR Watson,Right_Hand,Australia,3590.0,139.91,31.22,0
Chennai Super Kings,AT Rayudu,Right_Hand,India,3313.0,126.64,29.06,0
Sunrisers Hyderabad,MK Pandey,Right_Hand,India,2855.0,121.39,30.05,0
Mumbai Indians,KA Pollard,Right_Hand,West Indies,2772.0,147.53,27.18,0
Chennai Super Kings,M Vijay,Right_Hand,India,2589.0,123.05,27.84,0
Rajasthan Royals,SV Samson,Right_Hand,India,2215.0,130.83,28.04,0
Rajasthan Royals,SPD Smith,Right_Hand,India,2038.0,129.81,34.54,0
Kings XI Punjab,KL Rahul,Right_Hand,India,1988.0,139.22,40.57,0
Chennai Super Kings,RA Jadeja,Left_Hand,India,1931.0,123.23,23.27,0
Chennai Super Kings,F du Plessis,Right_Hand,South Africa,1861.0,127.55,33.23,0
Sunrisers Hyderabad,WP Saha,Right_Hand,India,1767.0,131.87,23.88,0
Delhi Capitals,RR Pant,Left_Hand,India,1767.0,164.99,36.06,0
Royal Challengers Bangalore,AJ Finch,Right_Hand,Australia,1741.0,130.71,26.38,0
Delhi Capitals,SS Iyer,Right_Hand,India,1695.0,128.31,29.74,0
Kings XI Punjab,Mandeep Singh,Right_Hand,India,1535.0,125.1,21.62,0
Chennai Super Kings,DJ Bravo,Right_Hand,West Indies,1494.0,129.35,23.71,0
Mumbai Indians,Q de Kock,Left_Hand,South Africa,1478.0,133.27,32.13,0
Kings XI Punjab,KK Nair,Right_Hand,India,1465.0,128.85,24.02,0
Kolkata Knight Riders,AD Russell,Right_Hand,West Indies,1415.0,188.16,34.51,0
Kings XI Punjab,GJ Maxwell,Right_Hand,Australia,1401.0,162.15,22.6,0
Rajasthan Royals,JC Buttler,Right_Hand,England,1396.0,151.9,37.73,0
Sunrisers Hyderabad,KS Williamson,Right_Hand,New Zealand,1309.0,135.79,38.5,0
Mumbai Indians,SS Tiwary,Left_Hand,India,1276.0,119.92,30.38,0
Kings XI Punjab,MA Agarwal,Right_Hand,India,1269.0,128.44,18.94,0
Kolkata Knight Riders,N Rana,Left_Hand,India,1093.0,135.27,27.32,0
Chennai Super Kings,KM Jadhav,Right_Hand,India,1087.0,127.73,23.63,0
Mumbai Indians,HH Pandya,Right_Hand,India,1082.0,157.04,28.47,0
Mumbai Indians,KH Pandya,Left_Hand,India,897.0,147.29,28.03,0
Kolkata Knight Riders,EJG Morgan,Left_Hand,England,854.0,121.65,22.47,0
Delhi Capitals,AR Patel,Left_Hand,India,800.0,127.39,18.6,0
Kolkata Knight Riders,SP Narine,Left_Hand,West Indies,785.0,171.4,19.62,0
Kolkata Knight Riders,RA Tripathi,Right_hand,0,761.0,137.61,28.19,0
Mumbai Indians,Ishan Kishan,Left_Hand,India,701.0,132.02,22.61,0
Rajasthan Royals,BA Stokes,Left_Hand,0,641.0,133.26,21.37,0
Mumbai Indians,SA Yadav,Right_Hand,India,608.0,130.75,20.97,0
Sunrisers Hyderabad,V Shankar,Right_Hand,India,563.0,135.34,33.12,0
Kings XI Punjab,DJ Hooda,Right_Hand,India,526.0,127.36,15.94,0
Royal Challengers Bangalore,CH Morris,Right_Hand,South Africa,519.0,158.72,25.95,0
Delhi Capitals,MP Stoinis,Right_Hand,Australia,476.0,131.49,31.73,0
Royal Challengers Bangalore,Gurkeerat Singh,Right_Hand,India,443.0,129.53,17.04,0
Kings XI Punjab,SN Khan,Right_Hand,India,412.0,144.56,22.89,0
Delhi Capitals,R Ashwin,Right_Hand,India,376.0,111.9,11.39,0
Sunrisers Hyderabad,SP Goswami,Left_Hand,India,295.0,101.72,16.39,0
Sunrisers Hyderabad,MR Marsh,Right_Hand,Australia,225.0,114.8,18.75,0
Sunrisers Hyderabad,B Kumar,Right_Hand,India,184.0,97.35,8.0,0
Kings XI Punjab,N Pooran,Left_Hand,0,170.0,160.38,28.33,0
Royal Challengers Bangalore,DW Steyn,Right_Hand,South Africa,166.0,105.73,7.55,0
Rajasthan Royals,R Parag,Right_hand,0,161.0,127.78,40.25,0
Kings XI Punjab,K Gowtham,Right_hand,0,145.0,174.7,12.08,0
Sunrisers Hyderabad,Mohammad Nabi,Right_hand,0,142.0,156.04,17.75,0
Rajasthan Royals,S Gopal,Right_Hand,India,129.0,109.32,16.12,0
Royal Challengers Bangalore,UT Yadav,Right_Hand,India,122.0,98.39,10.17,0
Rajasthan Royals,R Tewatia,Left_Hand,India,115.0,129.21,16.43,0
Delhi Capitals,HV Patel,Right_Hand,India,107.0,157.35,13.38,0
Sunrisers Hyderabad,Rashid Khan,Right_hand,0,105.0,166.67,8.75,0
Mumbai Indians,DS Kulkarni,Right_Hand,India,101.0,95.28,11.22,0
Rajasthan Royals,AJ Tye,Right_hand,0,92.0,131.43,13.14,0
Kolkata Knight Riders,PJ Cummins,Right_Hand,Australia,77.0,140.0,12.83,0
Royal Challengers Bangalore,Washington Sundar,Left_Hand,0,75.0,150.0,12.5,0
Chennai Super Kings,DL Chahar,Right_Hand,India,71.0,161.36,11.83,0
Delhi Capitals,K Rabada,Left_Hand,0,70.0,89.74,11.67,0
Rajasthan Royals,JD Unadkat,Right_Hand,India,55.0,103.77,7.86,0
Kings XI Punjab,Mohammed Shami,Right_Hand,India,54.0,103.85,6.0,0
Mumbai Indians,NM Coulter0Nile,Right_Hand,Australia,52.0,104.0,7.43,0
Rajasthan Royals,VR Aaron,Right_Hand,India,49.0,79.03,16.33,0
Kolkata Knight Riders,Kuldeep Yadav,Left_Hand,India,45.0,83.33,11.25,0
Kings XI Punjab,JDS Neesham,Left_Hand,New Zealand,42.0,91.3,14.0,0
Royal Challengers Bangalore,S Dube,Left_Hand,0,40.0,121.21,10.0,0
Sunrisers Hyderabad,JO Holder,Right_Hand,West Indies,38.0,122.58,7.6,0
Mumbai Indians,JJ Bumrah,Right_Hand,India,37.0,97.37,12.33,0
Chennai Super Kings,SN Thakur,Right_Hand,India,36.0,171.43,9.0,0
Royal Challengers Bangalore,Mohammed Siraj,Right_hand,0,32.0,88.89,10.67,0
Sunrisers Hyderabad,S Nadeem,Right_Hand,India,32.0,41.56,2.29,0
Sunrisers Hyderabad,Sandeep Sharma,Right_Hand,India,26.0,68.42,8.67,0
Kolkata Knight Riders,NS Naik,Right_Hand,India,23.0,74.19,11.5,0
Royal Challengers Bangalore,YS Chahal,Right_Hand,India,22.0,45.83,5.5,0
Chennai Super Kings,Imran Tahir,Right_Hand,India,20.0,74.07,5.0,0
Rajasthan Royals,AS Rajpoot,Right_Hand,India,17.0,56.67,5.67,0
Mumbai Indians,RD Chahar,Right_hand,0,15.0,115.38,7.5,0
Mumbai Indians,TA Boult,Right_Hand,New Zealand,12.0,85.71,6.0,0
Kings XI Punjab,M Ashwin,Right_Hand,India,4.0,50.0,1.33,0
Kings XI Punjab,CJ Jordan,Right_Hand,England,3.0,60.0,3.0,0
Kolkata Knight Riders,LH Ferguson,Right_Hand,0,1.0,100.0,0,0
Chennai Super Kings,DJ Bravo,0,0,0,0,0,120.0
Chennai Super Kings,DL Chahar,0,0,0,0,0,44.0
Chennai Super Kings,Imran Tahir,0,0,0,0,0,33.0
Chennai Super Kings,JR Hazlewood,0,0,0,0,0,1.0
Chennai Super Kings,KV Sharma,0,0,0,0,0,10.0
Chennai Super Kings,L Ngidi,0,0,0,0,0,23.0
Chennai Super Kings,MJ Santner,0,0,0,0,0,6.0
Chennai Super Kings,Monu Kumar,0,0,0,0,0,0.0
Chennai Super Kings,PP Chawla,0,0,0,0,0,7.0
Chennai Super Kings,RA Jadeja,0,0,0,0,0,90.0
Chennai Super Kings,SM Curran,0,0,0,0,0,14.0
Chennai Super Kings,SN Thakur,0,0,0,0,0,36.0
Delhi Capitals,A Mishra,0,0,0,0,0,14.0
Delhi Capitals,A Nortje,0,0,0,0,0,23.0
Delhi Capitals,AR Patel,0,0,0,0,0,23.0
Delhi Capitals,Avesh Khan,0,0,0,0,0,0.0
Delhi Capitals,DR Sams,0,0,0,0,0,0.0
Delhi Capitals,HV Patel,0,0,0,0,0,6.0
Delhi Capitals,I Sharma,0,0,0,0,0,14.0
Delhi Capitals,K Rabada,0,0,0,0,0,58.0
Delhi Capitals,MM Sharma,0,0,0,0,0,1.0
Delhi Capitals,MP Stoinis,0,0,0,0,0,13.0
Delhi Capitals,P Dubey,0,0,0,0,0,0.0
Delhi Capitals,R Ashwin,0,0,0,0,0,15.0
Delhi Capitals,TU Deshpande,0,0,0,0,0,3.0
Kings XI Punjab,Arshdeep Singh,0,0,0,0,0,14.0
Kings XI Punjab,CH Gayle,0,0,0,0,0,0.0
Kings XI Punjab,CJ Jordan,0,0,0,0,0,11.0
Kings XI Punjab,DJ Hooda,0,0,0,0,0,0.0
Kings XI Punjab,GJ Maxwell,0,0,0,0,0,12.0
Kings XI Punjab,Harpreet Brar,0,0,0,0,0,0.0
Kings XI Punjab,JDS Neesham,0,0,0,0,0,2.0
Kings XI Punjab,K Gowtham,0,0,0,0,0,1.0
Kings XI Punjab,M Ashwin,0,0,0,0,0,15.0
Kings XI Punjab,Mohammed Shami,0,0,0,0,0,44.0
Kings XI Punjab,Mujeeb Ur Rahman,0,0,0,0,0,18.0
Kings XI Punjab,Ravi Bishnoi,0,0,0,0,0,14.0
Kings XI Punjab,SS Cottrell,0,0,0,0,0,6.0
Kolkata Knight Riders,AD Russell,0,0,0,0,0,64.0
Kolkata Knight Riders,CJ Green,0,0,0,0,0,0.0
Kolkata Knight Riders,CV Varun,0,0,0,0,0,17.0
Kolkata Knight Riders,KL Nagarkoti,0,0,0,0,0,5.0
Kolkata Knight Riders,Kuldeep Yadav,0,0,0,0,0,36.0
Kolkata Knight Riders,LH Ferguson,0,0,0,0,0,9.0
Kolkata Knight Riders,M Prasidh Krishna,0,0,0,0,0,20.0
Kolkata Knight Riders,N Rana,0,0,0,0,0,7.0
Kolkata Knight Riders,PJ Cummins,0,0,0,0,0,15.0
Kolkata Knight Riders,S Sandeep Warrier,0,0,0,0,0,2.0
Kolkata Knight Riders,SP Narine,0,0,0,0,0,132.0
Kolkata Knight Riders,Shivam Mavi,0,0,0,0,0,16.0
Mumbai Indians,DS Kulkarni,0,0,0,0,0,39.0
Mumbai Indians,J Yadav,0,0,0,0,0,2.0
Mumbai Indians,JJ Bumrah,0,0,0,0,0,105.0
Mumbai Indians,JL Pattinson,0,0,0,0,0,11.0
Mumbai Indians,KA Pollard,0,0,0,0,0,66.0
Mumbai Indians,KH Pandya,0,0,0,0,0,45.0
Mumbai Indians,NM Coulter0Nile,0,0,0,0,0,7.0
Mumbai Indians,RD Chahar,0,0,0,0,0,29.0
Mumbai Indians,TA Boult,0,0,0,0,0,26.0
Rajasthan Royals,AJ Tye,0,0,0,0,0,2.0
Rajasthan Royals,AS Rajpoot,0,0,0,0,0,2.0
Rajasthan Royals,BA Stokes,0,0,0,0,0,17.0
Rajasthan Royals,JC Archer,0,0,0,0,0,47.0
Rajasthan Royals,JD Unadkat,0,0,0,0,0,28.0
Rajasthan Royals,Kartik Tyagi,0,0,0,0,0,10.0
Rajasthan Royals,R Parag,0,0,0,0,0,2.0
Rajasthan Royals,R Tewatia,0,0,0,0,0,16.0
Rajasthan Royals,S Gopal,0,0,0,0,0,42.0
Rajasthan Royals,TK Curran,0,0,0,0,0,3.0
Rajasthan Royals,VR Aaron,0,0,0,0,0,4.0
Royal Challengers Bangalore,A Zampa,0,0,0,0,0,2.0
Royal Challengers Bangalore,CH Morris,0,0,0,0,0,12.0
Royal Challengers Bangalore,DW Steyn,0,0,0,0,0,38.0
Royal Challengers Bangalore,I Udana,0,0,0,0,0,8.0
Royal Challengers Bangalore,MM Ali,0,0,0,0,0,14.0
Royal Challengers Bangalore,Mohammed Siraj,0,0,0,0,0,31.0
Royal Challengers Bangalore,NA Saini,0,0,0,0,0,19.0
Royal Challengers Bangalore,S Dube,0,0,0,0,0,5.0
Royal Challengers Bangalore,Shahbaz Ahmed,0,0,0,0,0,2.0
Royal Challengers Bangalore,UT Yadav,0,0,0,0,0,30.0
Royal Challengers Bangalore,Washington Sundar,0,0,0,0,0,17.0
Royal Challengers Bangalore,YS Chahal,0,0,0,0,0,115.0
Sunrisers Hyderabad,Abdul Samad,0,0,0,0,0,1.0
Sunrisers Hyderabad,Abhishek Sharma,0,0,0,0,0,3.0
Sunrisers Hyderabad,B Kumar,0,0,0,0,0,105.0
Sunrisers Hyderabad,Basil Thampi,0,0,0,0,0,6.0
Sunrisers Hyderabad,DA Warner,0,0,0,0,0,0.0
Sunrisers Hyderabad,JO Holder,0,0,0,0,0,16.0
Sunrisers Hyderabad,KK Ahmed,0,0,0,0,0,30.0
Sunrisers Hyderabad,KS Williamson,0,0,0,0,0,0.0
Sunrisers Hyderabad,MR Marsh,0,0,0,0,0,0.0
Sunrisers Hyderabad,Mohammad Nabi,0,0,0,0,0,11.0
Sunrisers Hyderabad,Rashid Khan,0,0,0,0,0,71.0
Sunrisers Hyderabad,S Kaul,0,0,0,0,0,43.0
Sunrisers Hyderabad,S Nadeem,0,0,0,0,0,9.0
Sunrisers Hyderabad,Sandeep Sharma,0,0,0,0,0,41.0
Sunrisers Hyderabad,T Natarajan,0,0,0,0,0,19.0
Sunrisers Hyderabad,V Shankar,0,0,0,0,0,6.0
